Psalm 126,St Thomas
Psalm 126,Thanksgiving Day B
Psalm 127,Proper 27B
Psalm 128,Proper 12A
Psalm 130,Lent 5A
Psalm 130,Vigil of Pentecost
Psalm 130,Proper 5B
Psalm 130,Proper 8B
Psalm 130,Proper 14B
Psalm 131,Epiphany 8A / Proper 3A
"Psalm 132:1-13,(14-19)",Proper 29B
Psalm 133,Easter 2B
Psalm 133,Proper 7B
Psalm 133,Proper 15A
"Psalm 136:1-9,23-26",Easter Vigil
Psalm 137,Proper 22C
Psalm 138,Epiphany 5C
Psalm 138,Proper 5B
Psalm 138,Proper 12C
Psalm 138,Proper 16A
"Psalm 139:1-5,12-17",Epiphany 2B
"Psalm 139:1-5,12-17",Proper 4B
"Psalm 139:1-5,12-17",Proper 18C
"Psalm 139:1-11,22-23",Proper 11A
Psalm 143,Easter Vigil
Psalm 145,Independence Day
Psalm 145:1-8,Proper 20A
"Psalm 145:1-5,18-22",Proper 27C
"Psalm 145:8-9,15-22",Proper 13A
Psalm 145:8-15,Proper 9A
Psalm 145:10-19,Proper 12B
Psalm 146,Proper 5C
Psalm 146,Proper 18B
Psalm 146,Proper 21C
Psalm 146,Proper 26B
Psalm 146,Proper 27B
Psalm 146:4-9,Advent 3A
Psalm 147,"Christmas 1A,B,C"
Psalm 147,St Luke
"Psalm 147:1-12,21c",Epiphany 5B
Psalm 148,Easter 5C
Psalm 149,Proper 18A
Psalm 149,All Saints C
Psalm 150,Easter 2C
Proverbs 1:20-33,Proper 19B
Proverbs 3:1-6,St Matthew
"Proverbs 8:1-8,19-21;9:4b-6",Easter Vigil
"Proverbs 8:1-4, 22-31",Trinity Sunday C
Proverbs 9:1-6,Proper 15B
"Proverbs 22:1-2, 8-9,22-23",Proper 18B
Proverbs 25:6-7,Proper 17C
Proverbs 31:10-31,Proper 20B
"Ecclesiastes 1:2,12-14; 2:18-23",Proper 13C
Song of Solomon 2:8-13,Proper 9A
Song of Solomon 2:8-13,Proper 17B
"Isaiah 1:1,10-20",Proper 14C
Isaiah 1:10-18,Proper 26C
Isaiah 2:1-5 ,Advent 1A
Isaiah 5:1-7,Proper 22A
Isaiah 5:1-7,Proper 15C
Isaiah 5:1-7,Proper 22A
Isaiah 6:1-8,Trinity Sunday B
"Isaiah 6:1-8,(9-13)",Epiphany 5C
Isaiah 7:10-16 ,Advent 4A
Isaiah 7:10-14,The Annunciation
Isaiah 9:1-4 ,Epiphany 3A
Isaiah 9:2-7 ,"Christmas Day I A,B,C"
Isaiah 11:1-10 ,Advent 2A
Isaiah 25:1-9,Proper 23A
Isaiah 25:6-9,Easter Evening
Isaiah 25:6-9,Easter Day B
Isaiah 25:6-9,All Saints B
Isaiah 30:18-21,St Philip & St James
Isaiah 35:1-10 ,Advent 3A
Isaiah 35:4-7a,Proper 18B
Isaiah 40:1-11,Advent 2B
Isaiah 40:1-11,Nativity of St John the Baptist
Isaiah 40:21-31,Epiphany 5B
Isaiah 42:1-9 ,Epiphany 1A
Isaiah 42:1-9 ,Monday in Holy Week
Isaiah 42:5-12,St Barnabas
Isaiah 43:1-7,Epiphany 1C
Isaiah 43:16-21,Lent 5C
Isaiah 43:18-25,Epiphany 7B / Proper 2B
Isaiah 44:6-8,Proper 11A
Isaiah 45:1-7,Proper 24A
Isaiah 45:21-25,Holy Cross Day
Isaiah 49:1-7 ,Epiphany 2A
Isaiah 49:1-7 ,Tuesday in Holy Week
Isaiah 49:8-16a ,Epiphany 8A / Proper 3A
Isaiah 50:4-9a,"Palm Sunday A,B.C"
Isaiah 50:4-9a,Wednesday in Holy Week
Isaiah 50:4-9a,Proper 19B
Isaiah 51:1-6,Proper 16A
Isaiah 52:7-10 ,"Christmas Day III A,B,C"
Isaiah 52:7-10 ,St Mark
Isaiah 52:13—53:12,Good Friday
Isaiah 53:4-12,Proper 24B
Isaiah 55:1-11,Easter Vigil
Isaiah 55:1-5,Proper 13A
Isaiah 55:10-13,Epiphany 8C / Proper 3C
Isaiah 55:10-13,Proper 10A
"Isaiah 56:1, 6-8",Proper 15A
Isaiah 58:1-12 ,"Ash Wednesday A,B,C"
Isaiah 58:1-9a(9b-12) ,Epiphany 5A
Isaiah 58:9b-14,Proper 16C
Isaiah 60:1-6 ,The Epiphany
"Isaiah 61:1-4,8-11",Advent 3B
Isaiah 61:10-11,St Mary the Virgin
Isaiah 61:10—62:3 ,"Christmas 1A,B,C"
Isaiah 62:1-5,Epiphany 2C
Isaiah 62:6-12 ,"Christmas Day II A,B,C"
Isaiah 64:1-9,Advent 1B
Isaiah 65:1-9,Proper 7C
Isaiah 65:17-25,Easter Day C
Isaiah 65:17-25,Proper 28C
Isaiah 66:10-14,Proper 9C
Jeremiah 1:4-10,Epiphany 4C
Jeremiah 1:4-10,Proper 16C
Jeremiah 2:4-13,Proper 17C
"Jeremiah 4:11-12,22-28",Proper 19C
Jeremiah 8:18—9:1,Proper 20C
Jeremiah 11:18-20,Proper 20B
"Jeremiah 14:7-10,19-22",Proper 25C
Jeremiah 15:15-21,Proper 17A
Jeremiah 17:5-10,Epiphany 6C / Proper 1C
Jeremiah 18:1-11,Proper 18C
Jeremiah 20:7-13,Proper 7A
Jeremiah 23:1-6,Proper 11B
Jeremiah 23:1-6,Proper 29C
Jeremiah 23:23-29,Proper 15C
"Jeremiah 26:1-9,12-15",St Stephen
Jeremiah 28:5-9,Proper 8A
"Jeremiah 29:1,4-7",Proper 23C
Jeremiah 31:1-6,Easter Day A
Jeremiah 31:7-9,Proper 25B
Jeremiah 31:7-14 ,"Christmas 2A,B,C"
Jeremiah 31:15-17,Holy Innocents
Jeremiah 31:27-34,Proper 24C
Jeremiah 31:31-34,Lent 5B
"Jeremiah 32:1-3a,6-15",Proper 21C
Jeremiah 33:14-16,Advent 1C
Jeremiah 45:1-5,St James
Lamentations 1:1-6,Proper 22C
"Lamentations 3:1-9,19-24",Holy Saturday
Lamentations 3:19-26,Proper 22C
Lamentations 3:21-33,Proper 8B
Ezekiel 2:1-5,Proper 9B
Ezekiel 17:22-24,Proper 6B
"Ezekiel 18:1-4,25-32",Proper 21A
Ezekiel 33:7-11,Proper 18A
